1,hyundai,10071513
2,kia,6403127
3,chevrolet,1899959
4,samsung,1587513
5,ssangyong,1194883
6,benz,457821
7,bmw,423835
8,gmc,185200
9,vw,184928
10,audi,169109
11,lexus,116097
12,toyota,108973
13,honda,86580
14,ford,74737
15,mini,70673
16,volvo,64987
17,landrover,60553
18,jeep,48625
19,nissan,40314
20,peugeot,39051
21,infinite,33599
22,porsche,28398
23,jaguar,24855
24,linc,23594
25,chrysler,18305
26,cadillac,16040
27,scania,11820
28,maserati,8145
29,man,6475
30,fiat,5596
31,citroen,5447
32,dodge,4108
33,bently,2633
34,pinnacle,2385
35,hanteug,2239
36,saab,1908
37,subaru,1708
38,karavan,1611
39,tesla,1365
40,mitsubishi,1295
41,iveco,1225
42,ferrari,1024
43,hummer,911
44,coachman,862
45,junghan,823
46,isuzu,819
47,bailey,726
48,explorer,692
49,swift,675
50,unknown,500
